sample,caste,behavior,tissue,study,species
SRR1239303_antenna_f2,worker,forager,antenna,jasper,amel
SRR1239304_antenna_f3,worker,forager,antenna,jasper,amel
SRR1239305_antenna_n1,worker,nurse,antenna,jasper,amel
SRR1239306_antenna_n2,worker,nurse,antenna,jasper,amel
SRR1239308_midgut_f1,worker,forager,midgut,jasper,amel
SRR1239309_midgut_f2,worker,forager,midgut,jasper,amel
SRR1239310_midgut_f3,worker,forager,midgut,jasper,amel
SRR1239312_midgut_n2,worker,nurse,midgut,jasper,amel
SRR1239313_midgut_n3,worker,nurse,midgut,jasper,amel
SRR1254946_hypopharyngeal_gland_f1,worker,forager,hypopharyngeal_gland,jasper,amel
SRR1254947_hypopharyngeal_gland_f2,worker,forager,hypopharyngeal_gland,jasper,amel
SRR1254948_hypopharyngeal_gland_f3,worker,forager,hypopharyngeal_gland,jasper,amel
SRR1254950_hypopharyngeal_gland_n1,worker,nurse,hypopharyngeal_gland,jasper,amel
SRR1254951_hypopharyngeal_gland_n2,worker,nurse,hypopharyngeal_gland,jasper,amel
SRR1254952_hypopharyngeal_gland_n3,worker,nurse,hypopharyngeal_gland,jasper,amel
SRR1254954_malpighian_tubule_f1,worker,forager,malpighian_tubule,jasper,amel
SRR1254956_malpighian_tubule_f2,worker,forager,malpighian_tubule,jasper,amel
SRR1254957_malpighian_tubule_f3,worker,forager,malpighian_tubule,jasper,amel
SRR1254958_malpighian_tubule_n1,worker,nurse,malpighian_tubule,jasper,amel
SRR1254959_malpighian_tubule_n2,worker,nurse,malpighian_tubule,jasper,amel
SRR1254960_malpighian_tubule_n3,worker,nurse,malpighian_tubule,jasper,amel
SRR1255009_mandibular_gland_f1,worker,forager,mandibular_gland,jasper,amel
SRR1255010_mandibular_gland_f2,worker,forager,mandibular_gland,jasper,amel
SRR1255011_mandibular_gland_f3,worker,forager,mandibular_gland,jasper,amel
SRR1255012_mandibular_gland_n1,worker,nurse,mandibular_gland,jasper,amel
SRR1255013_mandibular_gland_n2,worker,nurse,mandibular_gland,jasper,amel
SRR1255014_mandibular_gland_n3,worker,nurse,mandibular_gland,jasper,amel
SRR1255064_muscle_f1,worker,forager,muscle,jasper,amel
SRR1255065_muscle_f2,worker,forager,muscle,jasper,amel
SRR1255066_muscle_f3,worker,forager,muscle,jasper,amel
SRR1255149_muscle_n2,worker,nurse,muscle,jasper,amel
SRR1255151_nasonov_gland_f1,worker,forager,nasonov,jasper,amel
SRR1255154_nasonov_gland_n1,worker,nurse,nasonov,jasper,amel
SRR1255153_nasonov_gland_f3,worker,forager,nasonov,jasper,amel
SRR1255260_nasonov_gland_n2,worker,nurse,nasonov,jasper,amel
SRR1255326_nasonov_gland_n3,worker,nurse,nasonov,jasper,amel
SRR1255541_thoracic_ganglion_f1,worker,forager,thoracic_ganglion,jasper,amel
SRR1255542_thoracic_ganglion_f2,worker,forager,thoracic_ganglion,jasper,amel
SRR1255543_thoracic_ganglion_f3,worker,forager,thoracic_ganglion,jasper,amel
SRR1255544_thoracic_ganglion_n1,worker,nurse,thoracic_ganglion,jasper,amel
SRR1255545_thoracic_ganglion_n2,worker,nurse,thoracic_ganglion,jasper,amel
SRR1255546_thoracic_ganglion_n3,worker,nurse,thoracic_ganglion,jasper,amel
SRR935175_brain_n1,worker,nurse,brain,jasper,amel
SRR935176_brain_n2,worker,nurse,brain,jasper,amel
SRR935177_brain_n3,worker,nurse,brain,jasper,amel
SRR935178_brain_f1,worker,forager,brain,jasper,amel
SRR935179_brain_f2,worker,forager,brain,jasper,amel
SRR935180_brain_f3,worker,forager,brain,jasper,amel
